"shortnam","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco","asia","africa","rich4","idvar","lat_abst","excolony","logem_dm"
"PLW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"PNG",0,7.27272748947144,NA,7,0,1,170,5.13579845428467,-2.55104637145996,NA,1,0,0,"0_7.27273_NA_7_0_1_170_5.1358",0.0666666701436043,1,0.539814620182432
"POL",100,7.68181800842285,8.65521430969238,NA,NA,NA,NA,NA,-1.43548452854156,NA,0,0,0,"100_7.68182_8.65521_NA_NA_NA_NA_NA",0.577777802944183,0,NA
"POR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"PRI",NA,NA,NA,NA,NA,NA,NA,NA,-0.341082811355591,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"PRK",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"0_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"PRT",100,9.18181800842285,9.48948574066162,NA,NA,NA,NA,NA,-1.00512194633484,NA,0,0,0,"100_9.18182_9.48949_NA_NA_NA_NA_NA",0.436666667461395,0,NA
"PRY",25,6.95454549789429,8.20794677734375,1,1,2,78.0999984741211,4.35799026489258,-1.77195680141449,1,0,0,0,"25_6.95455_8.20795_1_1_2_78.1_4.35799",0.25555557012558,1,-0.237993569209658
"PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"QAT",0,7.72727251052856,9.68533134460449,NA,NA,NA,NA,NA,NA,NA,1,0,0,"0_7.72727_9.68533_NA_NA_NA_NA_NA",0.281111091375351,1,NA
"REU",NA,NA,NA,NA,NA,NA,NA,NA,-1.44392347335815,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"ROM",100,7.27272748947144,8.3870849609375,NA,NA,NA,NA,NA,-2.1803674697876,NA,0,0,0,"100_7.27273_8.38708_NA_NA_NA_NA_NA",0.51111114025116,0,NA
"RUS",100,8.45454502105713,8.40514373779297,NA,NA,NA,NA,NA,-0.874669075012207,NA,0,0,0,"100_8.45455_8.40514_NA_NA_NA_NA_NA",0.666666686534882,0,NA
"RWA",0,NA,6.47697257995605,1,0,1,280,5.63478946685791,-3.14655518531799,NA,0,1,0,"0_NA_6.47697_1_0_1_280_5.63479",0.0222222227603197,1,1.03880563275567
"SAU",0,7.59090900421143,9.23989963531494,NA,NA,NA,NA,NA,-0.638659000396729,NA,1,0,0,"0_7.59091_9.2399_NA_NA_NA_NA_NA",0.277777791023254,1,NA
"SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"SDN",0,4,7.30653142929077,7,0,1,88.1999969482422,4.47960710525513,-2.70306253433228,1,0,1,0,"0_4_7.30653_7_0_1_88.2_4.47961",0.16666667163372,1,-0.116376728847109
"SEN",0,6,7.40245151519775,3,0,1,164.660003662109,5.10388278961182,-2.63108921051025,1,0,1,0,"0_6_7.40245_3_0_1_164.66_5.10388",0.155555561184883,1,0.507898955509581
"SGP",4,9.31818199157715,10.1464338302612,7,0,1,17.7000007629395,2.87356472015381,-0.500875294208527,1,1,0,0,"4_9.31818_10.14643_7_0_1_17.7_2.87356",0.0135555556043983,1,-1.72241911394843
"SLB",NA,NA,7.79975318908691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_NA_7.79975_NA_NA_NA_NA_NA",NA,0,NA
"SLE",0,5.81818199157715,6.25382900238037,NA,NA,NA,483,6.18001651763916,-2.74887204170227,1,0,1,0,"0_5.81818_6.25383_NA_NA_NA_483_6.18002",0.0922222211956978,1,1.58403268353692
"SLV",20,5,7.94803190231323,3,NA,3,78.0999984741211,4.35799026489258,-1.85150945186615,1,0,0,0,"20_5_7.94803_3_NA_3_78.1_4.35799",0.150000005960464,1,-0.237993569209658
"SOM",0,3,NA,7,0,1,NA,NA,-3.01593494415283,NA,0,1,0,"0_3_NA_7_0_1_NA_NA",0.111111111938953,1,NA
"STP",100,8.40909099578857,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_8.40909_NA_NA_NA_NA_NA_NA",0.0111111113801599,1,NA
"SUR",1,4.68181800842285,8.01000022888184,NA,NA,1,32.1800003051758,3.47134518623352,-1.37042093276978,NA,0,0,0,"1_4.68182_8.01_NA_NA_1_32.18_3.47135",0.0444444455206394,NA,-1.12463864786872
"SVK",100,NA,8.85223579406738,NA,NA,NA,NA,NA,NA,NA,0,0,0,"100_NA_8.85224_NA_NA_NA_NA_NA",0.537777781486511,0,NA
"SVN",NA,NA,9.30018138885498,NA,NA,NA,NA,NA,NA,NA,0,0,0,"NA_NA_9.30018_NA_NA_NA_NA_NA",0.51111114025116,0,NA
"SWE",100,9.5,9.86630439758301,NA,NA,NA,NA,NA,-0.239527031779289,NA,0,0,0,"100_9.5_9.8663_NA_NA_NA_NA_NA",0.688888907432556,0,NA
"SWZ",0,NA,8.10772037506104,2,0,1,NA,NA,-1.80788886547089,NA,0,1,0,"0_NA_8.10772_2_0_1_NA_NA",0.292222201824188,1,NA
"SYC",0,NA,NA,NA,NA,NA,NA,NA,-1.53711724281311,NA,NA,NA,NA,"0_NA_NA_NA_NA_NA_NA_NA",NA,NA,NA
"SYR",0,5.81818199157715,8.02943325042725,NA,NA,NA,NA,NA,-0.825536370277405,NA,1,0,0,"0_5.81818_8.02943_NA_NA_NA_NA_NA",0.388888895511627,1,NA
"TCD",0,NA,6.8351845741272,1,0,1,280,5.63478946685791,-3.44201922416687,NA,0,1,0,"0_NA_6.83518_1_0_1_280_5.63479",0.16666667163372,1,1.03880563275567
"TGO",0,6.90909099578857,7.2225661277771,3,0,1,668,6.50428819656372,-3.21887588500977,1,0,1,0,"0_6.90909_7.22257_3_0_1_668_6.50429",0.0888888910412788,1,1.90830436246149
"THA",0,7.63636350631714,8.77493095397949,NA,NA,NA,140,4.94164228439331,-1.85150945186615,NA,1,0,0,"0_7.63636_8.77493_NA_NA_NA_140_4.94164",0.16666667163372,0,0.345658450291075
"TJK",NA,NA,6.8875527381897,NA,NA,NA,NA,NA,NA,NA,1,0,0,"NA_NA_6.88755_NA_NA_NA_NA_NA",0.433333337306976,0,NA
